@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
146,'2017/11/01 22:00:19:698',1,1,0,0.981929,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
147,'2017/11/01 22:00:19:729',1,1,0,0.981929,0.094118,0.171924,0.412667,0.945266,0.083828,0.210086
148,'2017/11/01 22:00:19:748',1,1,0,0.981685,0.094118,0.171924,0.412667,0.945266,0.083828,0.210086
149,'2017/11/01 22:00:19:773',1,1,0,0.982173,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
150,'2017/11/01 22:00:19:803',1,1,0,0.982906,0.094118,0.171924,0.412667,0.945266,0.083828,0.210086
151,'2017/11/01 22:00:19:835',1,1,0,0.984371,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
152,'2017/11/01 22:00:19:848',1,1,0,0.98315,0.094118,0.171924,0.412667,0.945266,0.083828,0.210086
153,'2017/11/01 22:00:19:873',1,1,0,0.984127,0.094118,0.171924,0.412667,0.945266,0.083828,0.210086
154,'2017/11/01 22:00:19:898',1,1,0,0.984615,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
155,'2017/11/01 22:00:19:923',1,1,0,0.984615,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
156,'2017/11/01 22:00:19:948',1,1,0,0.984371,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
157,'2017/11/01 22:00:19:973',1,1,0,0.984371,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
158,'2017/11/01 22:00:19:998',1,1,0,0.984371,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
159,'2017/11/01 22:00:20:023',1,1,0,0.98486,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
160,'2017/11/01 22:00:20:048',1,1,0,0.982906,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
161,'2017/11/01 22:00:20:073',1,1,0,0.982418,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
162,'2017/11/01 22:00:20:105',1,1,0,0.982173,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
163,'2017/11/01 22:00:20:136',1,1,0,0.982662,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
164,'2017/11/01 22:00:20:148',1,1,0,0.98315,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
165,'2017/11/01 22:00:20:173',1,1,0,0.982906,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
166,'2017/11/01 22:00:20:199',1,1,0,0.982662,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
167,'2017/11/01 22:00:20:232',1,1,0,0.982906,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
168,'2017/11/01 22:00:20:248',1,1,0,0.982906,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
169,'2017/11/01 22:00:20:273',1,1,0,0.982173,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
170,'2017/11/01 22:00:20:298',1,1,0,0.982418,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
171,'2017/11/01 22:00:20:323',1,1,0,0.982906,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
172,'2017/11/01 22:00:20:355',1,1,0,0.982418,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
173,'2017/11/01 22:00:20:384',1,1,0,0.982418,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
174,'2017/11/01 22:00:20:406',1,1,0,0.982418,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
175,'2017/11/01 22:00:20:433',1,1,0,0.982418,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
176,'2017/11/01 22:00:20:451',1,1,0,0.982418,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
177,'2017/11/01 22:00:20:483',1,1,0,0.982418,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
178,'2017/11/01 22:00:20:507',1,1,0,0.982418,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
179,'2017/11/01 22:00:20:523',1,1,0,0.982173,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
180,'2017/11/01 22:00:20:548',1,1,0,0.982173,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
181,'2017/11/01 22:00:20:573',1,1,0,0.982418,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
182,'2017/11/01 22:00:20:603',1,1,0,0.982173,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
183,'2017/11/01 22:00:20:633',1,1,0,0.982418,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
184,'2017/11/01 22:00:20:652',1,1,0,0.982173,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
185,'2017/11/01 22:00:20:684',1,1,0,0.982173,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
186,'2017/11/01 22:00:20:706',1,1,0,0.981685,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
187,'2017/11/01 22:00:20:735',1,1,0,0.981929,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
188,'2017/11/01 22:00:20:755',1,1,0,0.981685,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
189,'2017/11/01 22:00:20:780',1,1,0,0.981441,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
190,'2017/11/01 22:00:20:808',1,1,0,0.981441,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
191,'2017/11/01 22:00:20:833',1,1,0,0.981441,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
192,'2017/11/01 22:00:20:848',1,1,0,0.981685,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
193,'2017/11/01 22:00:20:878',1,1,0,0.981685,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
194,'2017/11/01 22:00:20:905',1,1,0,0.982173,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
195,'2017/11/01 22:00:20:935',1,1,0,0.982173,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
196,'2017/11/01 22:00:20:948',1,1,0,0.982418,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
197,'2017/11/01 22:00:20:973',1,1,0,0.982418,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
198,'2017/11/01 22:00:20:998',1,1,0,0.982173,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
199,'2017/11/01 22:00:21:030',1,1,0,0.981929,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
200,'2017/11/01 22:00:21:048',1,1,0,0.981685,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
